Donavon Frankenreiter	Stay Young	Gallagher and Lyle cover
Clare Bowditch	Hallelujah	Leonard Cohen cover
Betchadupa	Sweet Dreams	Split Enz cover
Bluebottle Kiss	Grapefruit Moon	Tom Waits cover
Bertie Blackman	Tyrone	Erykah Badu cover
Shihad	Ace of Spades	Motörhead cover
The Pictures	Milkshake	Kelis cover
The Living End	Walls	Icehouse cover
The Cat Empire	Hotel California	The Eagles cover
The Beautiful Girls	Ive Just Destroyed the World	Willie Nelson cover
The Camels	Cant Take My Eyes Off You	Frankie Valli cover
Serena Ryder	Illegal Smile	John Prine cover
Starky	Show a Sign of Life	The High Strung cover
Missy Higgins	Moses	Patty Griffin cover
Pete Murray	Sugar Mountain	Neil Young cover
Salmonella Dub	Get Up, Stand Up	Bob Marley & The Wailers cover
Lazy Susan	Are You Old Enough	Dragon cover
Love Outside Andromeda	Andy Warhol	David Bowie cover
Little Birdy	These Boots Are Made for Walkin	Nancy Sinatra cover
Jebediah	Raindrops Keep Fallin on My Head	B. J. Thomas cover
John Butler Trio	Message in a Bottle	The Police cover
Grinspoon	The Drugs Dont Work	The Verve cover
Goodshirt	Gouge Away	Pixies cover
Gorgeous	Little Suicides	The Golden Palominos cover
Darren Hanlon	Dont Stop	Fleetwood Mac cover
End Of Fashion	Quicksand	David Bowie cover
Dan Kelly & The Alpha Males	Sitting By the Riverside/Summer Wine	The Kinks/Nancy Sinatra & Lee Hazelwood cover
Damien Rice	When Doves Cry	Prince and the Revolution cover
Ash	Teenage Kicks	The Undertones cover
Big Heavy Stuff	Hyperballad	Björk cover
The Red Sun Band	My Drug Buddy	The Lemonheads cover
Chicks On Speed	Mind Your Own Business	Delta 5 cover
Gyroscope	Monument	Jebediah cover
Willy Mason	The Way I Am	Merle Haggard cover
Xavier Rudd	Let It Be	The Beatles cover
The Tea Party	The Maker	Daniel Lanois cover
The Vasco Era	The Needle and the Damage Done	Neil Young cover
Violent Femmes	(Im) Stranded	The Saints cover
Tim Rogers & The Temperance Union	Victoria	The Kinks cover
The Herd	I Was Only 19	Redgum cover
The Drones	Words From A Woman To Her Man	Beasts of Bourbon cover
The Panda Band	My Mistake/Golden Brown	Split Enz/The Stranglers cover
The Mountain Goats	Wildworld	The Birthday Party cover
The Shins	Strange Powers	The Magnetic Fields cover
The Devoted Few	Lost Highway	Hank Williams cover
Spoon	Upwards at 45 Degrees	Julian Cope cover
Tegan and Sara	Dancing In The Dark	Bruce Springsteen cover
Sophie Koh	Creep	Radiohead cover
Speedstar	There Is A Light That Never Goes Out	The Smiths cover
Regurgitator	Whole Lotta Love	Led Zeppelin cover
Sarah Blasko	Goodbye Yellow Brick Road	Elton John cover
Sonic Animation	Why Cant I Be You?	The Cure cover
Sons and Daughters	Come In Out Of The Rain	Parliament cover
Pegz	Zebra	John Butler Trio cover
New Buffalo	Dont Let Me Be Misunderstood	The Animals cover
Peabody	Borderline	Madonna cover
Lederhosen Lucil	T.N.T.	AC/DC cover
Laura Veirs	Im So Lonesome I Could Cry	Hank Williams cover
Micah P. Hinson	Suzanne	Leonard Cohen cover
Lior	The Needle and the Damage Done	Neil Young cover
Live@subs	Rolled Up	Long Beach Dub Allstars cover
Mia Dyson	Cant Let Go	Lucinda Williams cover
Kate Miller-Heidke	Little Water Song	Nick Cave cover
José González	Teardrop	Massive Attack cover
Karma County	Dirty Deeds Done Dirt Cheap	AC/DC cover
Josh Pyke	House At Pooh Corner	Nitty Gritty Dirt Band cover
Holidays On Ice	The Holiday Song	Pixies cover
Holly Throsby	Mistress	Red House Painters cover
Jen Cloher	State Trooper	Bruce Springsteen cover
Evermore	Relapse	Little Birdy cover
G. Love	Paid in Full	Eric B. & Rakim cover
Epicure	Bluestoned	The Dead Salesmen cover
Eels	I Could Never Take the Place of Your Man	Prince cover
Crooked Fingers	Long Black Veil	Lefty Frizzell cover
Butterfingers	Like A Virgin	Madonna cover
Art of Fighting	All Night Long (All Night)	Lionel Richie cover
67 Special	Scar	Missy Higgins cover
Angus & Julia Stone	Tubthumping	Chumbawamba cover
Augie March	Still I Dream of It	Brian Wilson cover
Beth Orton	O-o-h Child	The Five Stairsteps cover
Dirty Three	Maggie May	Rod Stewart cover
Fdel	For What Its Worth	Buffalo Springfield cover
Jamie Lidell	What a Fool Believes	The Doobie Brothers cover
Jens Lekman	Vem Kan Segla Förutan Vind? (Who Can Sail Without the Wind?)	Swedish folk song
Johnny Boy	Sheena Is a Punk Rocker/The Clapping Song (Clap Pat Clap Slap)	The Ramones/Shirley Ellis cover
Red Riders	Waterfall	The Stone Roses cover
Sharon Jones & The Dap-Kings	This Land Is Your Land	Woody Guthrie cover
PVT	Woman	Wolfmother cover
SubAudible Hum	Africa	Toto cover
The Zutons	Runaway	Del Shannon cover
The Magic Numbers	Crazy In Love	Beyoncé ft. Jay-Z cover
The Soundtrack Of Our Lives	Signed D.C.	Love cover
The Greenhornes	Nothing Can Change This Love	Sam Cooke cover
The Cloud Room	Always On My Mind	Elvis Presley cover
The Fumes	Im Goin Down	Bruce Springsteen cover
The Brunettes	Toxic	Britney Spears cover
Bob Evans	Beautiful To Me	Little Birdy cover
Ben Folds	Such Great Heights	The Postal Service cover
Custom Kings	The Boys Of Summer	Don Henley cover
Urge Overkill	Hello There	Cheap Trick cover
Blue King Brown	You Dont Love Me (No, No, No)	Dawn Penn cover
Eskimo Joe	Hey	Pixies cover
